,airline_iata,airline_icao,flight_iata,flight_icao,flight_number,dep_iata,dep_icao,dep_terminal,dep_gate,dep_time,dep_time_utc,dep_estimated,dep_estimated_utc,dep_actual,dep_actual_utc,arr_iata,arr_icao,arr_terminal,arr_gate,arr_baggage,arr_time,arr_time_utc,arr_estimated,arr_estimated_utc,cs_airline_iata,cs_flight_number,cs_flight_iata,status,duration,delayed,dep_delayed,arr_delayed,aircraft_icao,arr_time_ts,dep_time_ts,arr_estimated_ts,dep_estimated_ts,dep_actual_ts,arr_actual,arr_actual_utc,arr_actual_ts
41,NZ,ANZ,NZ9962,ANZ9962,9962,IAH,KIAH,E,1,2023-10-04 20:03,2023-10-05 01:03,2023-10-04 20:23,2023-10-05 01:23,2023-10-04 20:23,2023-10-05 01:23,GDL,MMGL,1,,,2023-10-04 21:21,2023-10-05 03:21,2023-10-04 21:57,2023-10-05 03:57,UA,332,UA332,active,138.0,36,20.0,36.0,,1696476060.0,1696467780,1696478220.0,1696468980.0,1696468980.0,,,
42,MQ,ENY,MQ9860,ENY9860,9860,ABI,KABI,,,2023-10-04 19:15,2023-10-05 00:15,2023-10-04 20:24,2023-10-05 01:24,2023-10-04 20:24,2023-10-05 01:24,ORD,KORD,3,L21,,2023-10-04 21:55,2023-10-05 02:55,2023-10-04 23:29,2023-10-05 04:29,,,,active,160.0,94,69.0,94.0,E170,1696474500.0,1696464900,1696480140.0,1696469040.0,1696469040.0,,,
43,LA,LAN,LA3426,LAN3426,3426,GRU,SBGR,2,,2023-10-04 21:50,2023-10-05 00:50,2023-10-04 22:24,2023-10-05 01:24,2023-10-04 22:24,2023-10-05 01:24,POA,SBPA,1,,,2023-10-04 23:35,2023-10-05 02:35,2023-10-05 00:20,2023-10-05 03:20,JJ,3426,JJ3426,active,105.0,45,34.0,45.0,,1696473300.0,1696467000,1696476000.0,1696469040.0,1696469040.0,,,
44,QR,QTR,QR5152,QTR5152,5152,GRU,SBGR,2,,2023-10-04 21:50,2023-10-05 00:50,2023-10-04 22:24,2023-10-05 01:24,2023-10-04 22:24,2023-10-05 01:24,POA,SBPA,1,,,2023-10-04 23:35,2023-10-05 02:35,2023-10-05 00:20,2023-10-05 03:20,JJ,3426,JJ3426,active,105.0,45,34.0,45.0,,1696473300.0,1696467000,1696476000.0,1696469040.0,1696469040.0,,,
45,ZL,RXA,ZL6417,RXA6417,6417,CFS,YCFS,,3,2023-10-05 10:55,2023-10-04 23:55,2023-10-05 12:24,2023-10-05 01:24,2023-10-05 12:24,2023-10-05 01:24,SYD,YSSY,2,,D6,2023-10-05 12:20,2023-10-05 01:20,2023-10-05 13:37,2023-10-05 02:37,,,,landed,85.0,77,89.0,77.0,SF34,1696468800.0,1696463700,1696473420.0,1696469040.0,1696469040.0,2023-10-05 13:37,2023-10-05 02:37,1696473420.0
46,DL,DAL,DL6014,DAL6014,6014,GRU,SBGR,2,,2023-10-04 21:50,2023-10-05 00:50,2023-10-04 22:24,2023-10-05 01:24,2023-10-04 22:24,2023-10-05 01:24,POA,SBPA,1,,,2023-10-04 23:35,2023-10-05 02:35,2023-10-05 00:20,2023-10-05 03:20,JJ,3426,JJ3426,active,105.0,45,34.0,45.0,,1696473300.0,1696467000,1696476000.0,1696469040.0,1696469040.0,,,
47,JJ,TAM,JJ3426,TAM3426,3426,GRU,SBGR,2,,2023-10-04 21:50,2023-10-05 00:50,2023-10-04 22:24,2023-10-05 01:24,2023-10-04 22:24,2023-10-05 01:24,POA,SBPA,1,,,2023-10-04 23:35,2023-10-05 02:35,2023-10-05 00:20,2023-10-05 03:20,,,,active,105.0,45,34.0,45.0,A321,1696473300.0,1696467000,1696476000.0,1696469040.0,1696469040.0,,,
48,AA,AAL,AA9860,AAL9860,9860,ABI,KABI,,,2023-10-04 19:15,2023-10-05 00:15,2023-10-04 20:24,2023-10-05 01:24,2023-10-04 20:24,2023-10-05 01:24,ORD,KORD,3,L21,,2023-10-04 21:55,2023-10-05 02:55,2023-10-04 23:29,2023-10-05 04:29,MQ,9860,MQ9860,active,160.0,94,69.0,94.0,,1696474500.0,1696464900,1696480140.0,1696469040.0,1696469040.0,,,
49,HU,CHH,HU7859,CHH7859,7859,URC,ZWWW,2,,2023-10-05 09:00,2023-10-05 01:00,2023-10-05 09:25,2023-10-05 01:25,2023-10-05 09:25,2023-10-05 01:25,CGO,ZHCC,T2,,,2023-10-05 12:45,2023-10-05 04:45,2023-10-05 13:23,2023-10-05 05:23,,,,active,225.0,38,25.0,38.0,B738,1696481100.0,1696467600,1696483380.0,1696469100.0,1696469100.0,,,
50,FC,,FC640,,640,SYD,YSSY,2,47,2023-10-05 10:35,2023-10-04 23:35,2023-10-05 12:25,2023-10-05 01:25,2023-10-05 12:25,2023-10-05 01:25,CBR,YSCB,,3,,2023-10-05 11:35,2023-10-05 00:35,,,,,,landed,60.0,110,110.0,,,1696466100.0,1696462500,,1696469100.0,1696469100.0,,,
51,FJ,FJI,FJ12,FJI12,12,SUV,NFNA,,,2023-10-05 12:50,2023-10-05 00:50,2023-10-05 13:25,2023-10-05 01:25,2023-10-05 13:25,2023-10-05 01:25,NAN,NFFN,,,,2023-10-05 13:20,2023-10-05 01:20,2023-10-05 14:01,2023-10-05 02:01,,,,landed,30.0,41,35.0,41.0,,1696468800.0,1696467000,1696471260.0,1696469100.0,1696469100.0,2023-10-05 14:01,2023-10-05 02:01,1696471260.0
52,VA,VOZ,VA640,VOZ640,640,SYD,YSSY,2,47,2023-10-05 10:35,2023-10-04 23:35,2023-10-05 12:25,2023-10-05 01:25,2023-10-05 12:25,2023-10-05 01:25,CBR,YSCB,,3,,2023-10-05 11:35,2023-10-05 00:35,,,FC,640,FC640,landed,60.0,110,110.0,,,1696466100.0,1696462500,,1696469100.0,1696469100.0,,,
53,SQ,SIA,SQ6152,SIA6152,6152,SUV,NFNA,,,2023-10-05 12:50,2023-10-05 00:50,2023-10-05 13:25,2023-10-05 01:25,2023-10-05 13:25,2023-10-05 01:25,NAN,NFFN,,,,2023-10-05 13:20,2023-10-05 01:20,2023-10-05 14:01,2023-10-05 02:01,FJ,12,FJ12,landed,30.0,41,35.0,41.0,,1696468800.0,1696467000,1696471260.0,1696469100.0,1696469100.0,2023-10-05 14:01,2023-10-05 02:01,1696471260.0
54,WN,SWA,WN1760,SWA1760,1760,DAL,KDAL,,3,2023-10-04 20:10,2023-10-05 01:10,2023-10-04 20:25,2023-10-05 01:25,2023-10-04 20:25,2023-10-05 01:25,SAN,KSAN,1,7,,2023-10-04 21:05,2023-10-05 04:05,2023-10-04 22:50,2023-10-05 05:50,,,,active,175.0,105,15.0,105.0,B38M,1696478700.0,1696468200,1696485000.0,1696469100.0,1696469100.0,,,
55,NT,IBB,NT6505,IBB6505,6505,NKC,GQNO,,,2023-10-04 23:45,2023-10-04 23:45,2023-10-05 01:25,2023-10-05 01:25,2023-10-05 01:25,2023-10-05 01:25,LPA,GCLP,,,41,2023-10-05 02:35,2023-10-05 01:35,2023-10-05 04:25,2023-10-05 03:25,,,,landed,110.0,110,100.0,110.0,,1696469700.0,1696463100,1696476300.0,1696469100.0,1696469100.0,,,
