,flight_number,airline_iata,dep_time_utc,dep_estimated_utc,arr_time_utc,arr_estimated_utc,dep_country_code,arr_country_code,domestic,international,delayed
168,4842,LA,2023-10-05 00:35,2023-10-05 03:04,2023-10-05 02:05,2023-10-05 04:20,AU,AU,True,False,149
169,9037,CX,2023-10-05 00:35,2023-10-05 03:04,2023-10-05 02:05,2023-10-05 04:20,AU,AU,True,False,149
170,4294,MU,2023-10-05 00:35,2023-10-05 03:04,2023-10-05 02:05,2023-10-05 04:20,AU,AU,True,False,149
171,7551,CZ,2023-10-05 00:35,2023-10-05 03:04,2023-10-05 02:05,2023-10-05 04:20,AU,AU,True,False,149
172,520,QF,2023-10-05 00:35,2023-10-05 03:04,2023-10-05 02:05,2023-10-05 04:20,AU,AU,True,False,149
173,1724,NZ,2023-10-05 02:30,2023-10-05 03:20,2023-10-05 04:00,2023-10-05 04:50,AU,AU,True,False,50
174,518,QF,2023-10-05 02:30,2023-10-05 03:20,2023-10-05 04:00,2023-10-05 04:50,AU,AU,True,False,50
175,1719,NZ,2023-10-05 03:05,2023-10-05 04:25,2023-10-05 04:35,2023-10-05 05:55,AU,AU,True,False,80
176,4844,LA,2023-10-05 03:05,2023-10-05 04:25,2023-10-05 04:35,2023-10-05 05:55,AU,AU,True,False,80
177,526,QF,2023-10-05 03:05,2023-10-05 04:25,2023-10-05 04:35,2023-10-05 05:55,AU,AU,True,False,80
178,5528,EK,2023-10-05 04:05,2023-10-05 04:45,2023-10-05 05:35,2023-10-05 06:15,AU,AU,True,False,40
179,4845,LA,2023-10-05 04:05,2023-10-05 04:45,2023-10-05 05:35,2023-10-05 06:15,AU,AU,True,False,40
180,1728,NZ,2023-10-05 04:05,2023-10-05 04:45,2023-10-05 05:35,2023-10-05 06:15,AU,AU,True,False,40
181,9039,CX,2023-10-05 04:05,2023-10-05 04:45,2023-10-05 05:35,2023-10-05 06:15,AU,AU,True,False,40
182,7432,CZ,2023-10-05 04:05,2023-10-05 04:45,2023-10-05 05:35,2023-10-05 06:15,AU,AU,True,False,40
183,528,QF,2023-10-05 04:05,2023-10-05 04:45,2023-10-05 05:35,2023-10-05 06:15,AU,AU,True,False,40
184,6400,SQ,2023-10-05 04:00,2023-10-05 05:20,2023-10-05 05:30,2023-10-05 06:46,AU,AU,True,False,80
185,6802,EY,2023-10-05 04:00,2023-10-05 05:20,2023-10-05 05:30,2023-10-05 06:46,AU,AU,True,False,80
186,4171,HA,2023-10-05 04:00,2023-10-05 05:20,2023-10-05 05:30,2023-10-05 06:46,AU,AU,True,False,80
187,951,VA,2023-10-05 04:00,2023-10-05 05:20,2023-10-05 05:30,2023-10-05 06:46,AU,AU,True,False,80
188,6804,EY,2023-10-05 05:00,2023-10-05 05:35,2023-10-05 06:30,2023-10-05 07:05,AU,AU,True,False,35
189,6694,SQ,2023-10-05 05:00,2023-10-05 05:35,2023-10-05 06:30,2023-10-05 07:05,AU,AU,True,False,35
190,957,VA,2023-10-05 05:00,2023-10-05 05:35,2023-10-05 06:30,2023-10-05 07:05,AU,AU,True,False,35
191,4173,HA,2023-10-05 05:00,2023-10-05 05:35,2023-10-05 06:30,2023-10-05 07:05,AU,AU,True,False,35
192,4295,MU,2023-10-05 05:05,2023-10-05 06:15,2023-10-05 06:35,2023-10-05 07:45,AU,AU,True,False,70
193,532,QF,2023-10-05 05:05,2023-10-05 06:15,2023-10-05 06:35,2023-10-05 07:45,AU,AU,True,False,70
194,1732,NZ,2023-10-05 05:05,2023-10-05 06:15,2023-10-05 06:35,2023-10-05 07:45,AU,AU,True,False,70
